Fold 1, Epoch 1, Val_loss: 0.7993, Val_Accuracy: 0.7798
Fold 1, Epoch 2, Val_loss: 2.9528, Val_Accuracy: 0.6055
Fold 1, Epoch 3, Val_loss: 0.6677, Val_Accuracy: 0.7798
Fold 1, Epoch 4, Val_loss: 0.2960, Val_Accuracy: 0.9266
Fold 1, Epoch 5, Val_loss: 0.1846, Val_Accuracy: 0.9450
Fold 1, Epoch 6, Val_loss: 0.1970, Val_Accuracy: 0.9083
Fold 1, Epoch 7, Val_loss: 0.1915, Val_Accuracy: 0.9083
Fold 1, Epoch 8, Val_loss: 0.3963, Val_Accuracy: 0.8716
Fold 1, Epoch 9, Val_loss: 0.3275, Val_Accuracy: 0.8716
Fold 1, Epoch 10, Val_loss: 0.2034, Val_Accuracy: 0.9083
Fold 1, Epoch 11, Val_loss: 0.1326, Val_Accuracy: 0.9725
Fold 1, Epoch 12, Val_loss: 0.2083, Val_Accuracy: 0.8991
Fold 1, Epoch 13, Val_loss: 0.1514, Val_Accuracy: 0.9633
Fold 1, Epoch 14, Val_loss: 0.1208, Val_Accuracy: 0.9541
Fold 1, Epoch 15, Val_loss: 0.1435, Val_Accuracy: 0.9450
Fold 1, Epoch 16, Val_loss: 0.0945, Val_Accuracy: 0.9725
Fold 1, Epoch 17, Val_loss: 0.1113, Val_Accuracy: 0.9817
Fold 1, Epoch 18, Val_loss: 0.1298, Val_Accuracy: 0.9633
Fold 1, Epoch 19, Val_loss: 0.1778, Val_Accuracy: 0.9358
Fold 1, Epoch 20, Val_loss: 0.1199, Val_Accuracy: 0.9541
Fold 1, Epoch 21, Val_loss: 0.1399, Val_Accuracy: 0.9450
Fold 1, Epoch 22, Val_loss: 0.1189, Val_Accuracy: 0.9633
Fold 1, Epoch 23, Val_loss: 0.1709, Val_Accuracy: 0.9633
Fold 1, Epoch 24, Val_loss: 0.1405, Val_Accuracy: 0.9450
Fold 1, Epoch 25, Val_loss: 0.4145, Val_Accuracy: 0.8440
Fold 1, Epoch 26, Val_loss: 0.1468, Val_Accuracy: 0.9725
Fold 1, Epoch 27, Val_loss: 0.1422, Val_Accuracy: 0.9633
Fold 1, Epoch 28, Val_loss: 0.1841, Val_Accuracy: 0.9541
Fold 1, Epoch 29, Val_loss: 0.1880, Val_Accuracy: 0.9633
Fold 1, Epoch 30, Val_loss: 0.1053, Val_Accuracy: 0.9633
Fold 1, Epoch 31, Val_loss: 0.0972, Val_Accuracy: 0.9725
Fold 1, Epoch 32, Val_loss: 0.1550, Val_Accuracy: 0.9725
Fold 1, Epoch 33, Val_loss: 0.1109, Val_Accuracy: 0.9633
Fold 1, Epoch 34, Val_loss: 0.1089, Val_Accuracy: 0.9725
Fold 1, Epoch 35, Val_loss: 0.0886, Val_Accuracy: 0.9725
